GEOID,suicide_rate_per_100k,pct_male,pct_age_15_24,pct_age_25_44,pct_age_45_64,pct_age_65p,pct_hispanic,pct_nh_black,pct_nh_aian,pct_nh_asian,pct_nh_two_or_more,median_hh_income,per_capita_income,poverty_rate_all,poverty_rate_child_u18,poverty_rate_elderly_65p,gini_index,hh_public_assistance_share,lfp_rate_16p,unemployment_rate,edu_lt_hs_25p,edu_hs_grad_25p,edu_some_college_25p,edu_grad_prof_25p,hh_single_person_share,hh_female_householder_no_spouse_share,avg_hh_size,marital_never_married_share_15p,marital_divorced_share_15p,marital_separated_share_15p,housing_occupied_share,renter_occupied_share,overcrowding_rate_gt1pproom,rent_burdened_gt30,rent_burdened_gt50,residential_stability_same_house_1yr,foreign_born_share,uninsured_rate,veteran_share_18p
44007011403,50.20080321,0.4626004016064257,0.087098394,0.2348142570281124,0.3195281124497992,0.1462098393574297,0.069277108,0.011044177,0,0.08998494,0,127949,51063,0.06173308,0.2438524590163934,0.1424892703862661,0.3816,0.003244646,0.7114413075780089,0.028822055,0.061942347,0.1352093342484557,0.2678448867536033,0.1264584763212079,0.3014276443867618,0.066839714,2.57,0.1526796230859835,0.005447585,0.02532391,0.9878205128205128,0.1674237508111616,0,0.8410852713178295,0.6065891472868217,0.004408616,0.114332329,0,0.047482473
44007011404,20.80732418,0.4729504785684561,0.066583437,0.1127756970453599,0.3499791926758219,0.2390761548064919,0.021431544,0.041822722,0,0.03079484,0.00769871,139667,67009,0.004993758,0,0.010443864,0.4514,0.030777538,0.6566125290023201,0.025630915,0.011757958,0.131344996,0.2744479495268139,0.219386292,0.2748380129589632,0.038336933,2.58,0.091232529,0.009402795,0.039644219,0.990904227,0.1177105831533477,0,0.1201923076923077,0.1201923076923077,0,0.043903454,0.007716371,0.068441065
44007011500,105.1524711,0.4925642181162686,0.1248310049571879,0.2103049421661409,0.1820639927895448,0.2664864052876671,0.018476791,0.00135196,0.000300436,0.043863602,0.034249662,118542,57078,0.063599877,0.3398058252427184,0.1025930101465614,0.4587,0.024641412,0.6447805237919587,0.054061785,0.058679207,0.1416888161930075,0.2001635657329789,0.1645880188100593,0.2945936005884516,0.072453108,2.37,0.1351302785265049,0.002695418,0.008265948,0.9388812154696132,0.3630011033468187,0,0.4427558257345491,0.2056737588652482,0,0.079315007,0.031954307,0.0515622
44007011600,73.59434795,0.483809243,0.1053871062702384,0.1333529584927877,0.2942302031204004,0.2272593464821901,0.03503091,0.000147189,0,0.06093612,0.002502208,136451,63450,0.04655274,0.015822785,0.097150259,0.454,0.014072848,0.6499722786915543,0.059246477,0.064767932,0.1120253164556962,0.1550632911392405,0.2419831223628692,0.2437913907284768,0.1436258278145695,2.8,0.1330401319406267,0.034084662,0.021440352,1,0.099751656,0.054635762,0.2545454545454545,0.090909091,0,0.1020017662643509,0.016745702,0.064585366
44007011701,106.1120543,0.5044567062818336,0.1396434634974533,0.1682937181663837,0.2661290322580645,0.2141341256366723,0.070458404,0.01655348,0,0.043293718,0,82813,42763,0.1109932088285229,0.4244741873804971,0.060455897,0.42,0.035825545,0.6677887105126877,0.064753781,0.089929165,0.2608561749307053,0.2497690175546658,0.1096396673852787,0.4418483904465213,0.1775700934579439,2.44,0.2561942517343905,0.002973241,0.073587711,0.963,0.3468328141225337,0,0.3657770800627943,0.1601255886970172,0,0.096986418,0.03565365,0.081583199
44007011800,27.2071827,0.4056590940008162,0.1058359406883417,0.2682628213848456,0.1733097537749966,0.207862876,0.3244456536525643,0.038362128,0,0,0.00897837,74712,32760,0.1074683716501156,0.4582278481012658,0.1223821989528795,0.3365,0.011224132,0.6544016506189821,0.051234892,0.1298925556408288,0.2012663085188027,0.2448196469685341,0.085571757,0.3753069098561908,0.20343739,2.56,0.202200825,0,0.029401651,0.9332242225859247,0.39319537,0.012627148,0.4533600802407221,0.1444332998996991,0,0.1934430689702081,0.016868453,0.022694524
44007011902,60.49606776,0.4539221617261544,0.102238355,0.1712038717483363,0.279491833,0.2952208106473079,0.099415205,0.044968744,0,0.038919137,0.028231498,100722,60567,0.02097197,0,0.071038251,0.441,0,0.5885767355467844,0.01617357,0.017911975,0.2663766632548618,0.199078813,0.1803991811668372,0.4547970479704797,0.039667897,2.29,0.1236925875397908,0.01273306,0.03888131,0.9752586594691858,0.2255535055350553,0,0.4747899159663865,0.2079831932773109,0,0.1326880419439403,0.018955435,0.033048027
44007012000,30.26634383,0.4812348668280872,0.1398305084745762,0.2554479418886198,0.2522699757869249,0.1781174334140436,0.1702481840193704,0.065223971,0,0.035562954,0,80625,37429,0.092929293,0.033444816,0.118946474,0.3103,0.021276596,0.6648580213420149,0.093307943,0.061087355,0.2152311138261046,0.2268377112604357,0.1140297291793932,0.405015198,0.2104863221884498,2.41,0.2541793996045299,0.005572533,0.054826532,0.973732889,0.2545592705167173,0,0.475095785,0.3045977011494253,0,0.1072941888619854,0.011499611,0.05058651
44007012102,25.47121752,0.4806418746816098,0.1670911869587366,0.1928171166581762,0.271013754,0.195109526,0.1551197147223637,0.068262863,0,0.00356597,0.004330107,80563,43755,0.048799182,0.031413613,0.1096605744125326,0.3165,0.064436793,0.6781334131020041,0.032642258,0.1032679738562091,0.2192810457516339,0.3016339869281045,0.1398692810457516,0.5169699950811608,0.1101819970486965,1.92,0.2471145309263095,0.015685114,0.063332347,0.9544600938967136,0.4131824889326119,0,0.3486682808716707,0.2082324455205811,0.001530612,0.071828833,0.004334523,0.081097749
44007012104,92.29349331,0.4455468389478542,0.1119058606368251,0.2194277803414859,0.2768804799261652,0.2434240886017535,0.1086755883710198,0.1926626672819566,0,0.066682049,0,98972,55809,0.1234425473004153,0.2467289719626168,0.138388626,0.4515,0.056830031,0.662778367,0.035786905,0.1158624674949436,0.2796879514591158,0.1369546373880381,0.057786767,0.3222106360792492,0.1694473409801876,2.25,0.1436903499469777,0.02359491,0.034994698,0.9448275862068966,0.4301355578727841,0,0.3784494086727989,0.2089356110381077,0,0.1130595293031841,0.006289308,0.054794521
