GEOID,area_km2,area_sqmi
44003021002,2.731398230155937,1.0545987525022236
44003021300,4.163536687998036,1.6075505024067076
44003021100,7.296290246560232,2.8171134135491
44003020904,8.276666054835527,3.195638629306986
44003020200,3.1230922544761777,1.2058326607804457
44003020903,31.803361532705214,12.279346536683272
44003021001,1.4385681811616753,0.5554342799570031
44003020604,4.573910185422087,1.7659965955707464
44003020601,9.922250662732933,3.831002398480399
44003020800,132.92258624673264,51.32169746890789
44003022000,3.2730162397677223,1.263718635118797
44003020400,1.7173947835266865,0.6630898329891901
44003020703,25.466210199269167,9.832558727833476
44003020602,6.809023359942242,2.6289786168396367
44003020102,2.730041410828514,1.0540748816311534
44003021800,3.544621931181309,1.3685861788459963
44003022400,6.796786985481744,2.6242541262477053
44003021502,3.7425069576901584,1.4449900147242922
44003022100,7.8540084851493255,3.0324496293268397
44003022300,6.567520494050821,2.535733839024772
44003020701,58.708783817900375,22.66758815749315
44003020702,46.8139322245118,18.07496028174377
44003021600,3.7360497780799355,1.4424968837386887
44003022201,8.81231897028725,3.4024553761924508
44003020500,4.559640654965347,1.7604870990600119
44003020300,2.2138004545367913,0.8547531340789029
44003021401,2.7910256694751903,1.077621035531746
44003020101,6.536493400209892,2.5237542111194906
44003020603,9.408230080088545,3.632537941986155
44003021200,2.511473673797283,0.9696854065756574
44003020901,2.596204903628302,1.00240031730937
44003021402,2.1990970655150273,0.8490761238397105
44009050500,151.27031604012015,58.405795546488356
44009050103,20.758749989103862,8.014998179435974
44009050901,25.134429334891824,9.704457419934304
44009050600,105.59672461846662,40.7711233102022
44009051304,25.749498827855636,9.94193707882124
44009051306,59.59938010170146,23.01144930505863
44009050801,3.5772208982048364,1.3811727103800342
44009051502,13.03900924690433,5.034389615484673
44009041500,24.742238876729413,9.553031837478047
44009051305,24.959607187101962,9.636958211311613
44009050402,19.374254642920874,7.4804415377827524
44009050102,8.879662477536321,3.4284568497051358
44009051000,14.342993040851638,5.537860573032097
44005041200,1.4173079865599914,0.5472256729302605
44005040303,3.8306648200619153,1.4790279556785155
44001030300,6.181543257004072,2.3867071946527734
44001030100,4.441060278654455,1.7147029598056012
44001030400,7.008574953918872,2.7060259180145994
44001030200,4.356437404330167,1.6820298853669273
44001030500,1.5037968993588948,0.5806192288519065
44001030601,11.1693555959251,4.3125123051148275
44001030602,3.365580261399554,1.2994578036742168
44001030700,1.0873794194198774,0.41983954099264625
44001030800,5.986689220554877,2.3114736305790307
44001030901,6.529820996806728,2.521177981762863
44001030902,11.87857659054742,4.586344062022126
44007010600,2.4647484232867334,0.9516446864950977
44007010701,2.830052228703171,1.092689274290154
44007010702,2.0061647946671526,0.7745845576128502
44007010800,0.7516095564534707,0.29019807212781534
44007010900,0.9731169037123203,0.3757225370374683
44007011000,0.7564070875305619,0.2920504092323547
44007011100,0.8202985595699764,0.316719044499227
44007011403,7.441995573244223,2.8733705546929214
44007011800,2.9759973864709055,1.149039014733094
44007012000,2.844679897476949,1.0983370487781534
44009050902,29.732046439397653,11.479607308135675
44009051503,11.335419365605869,4.3766298850442675
44009051101,73.37014650145785,28.328371936788358
44009051302,26.594665970139925,10.268257936786354
44009050104,12.255588986758772,4.731909361996588
44009050802,5.105103931800408,1.971091647651665
44009051102,25.14413555974289,9.7082050143006
44009050301,17.370197025222193,6.706670565745861
44009050401,29.06478664805667,11.22197686239034
44007012102,1.618405386080928,0.6248698129625667
44007012402,3.5923641637230412,1.3870195578839946
44007012602,21.70331241658629,8.379695771565034
44007012802,5.287925808105563,2.0416795687218654
44007013300,134.34116242417306,51.86941279307453
44007013400,1.8027335438204248,0.696039312545939
44007013500,1.3573858533896654,0.5240896079687297
44007013600,2.0654839147789543,0.7974877979308556
44007013701,1.455226266157911,0.5618660025312332
44007013702,0.8877485426661159,0.34276162856629794
44007014100,2.0983892975945055,0.8101926372636052
44007014200,5.096229523495882,1.9676652194495006
44007002101,0.45567304986498963,0.17593634814249207
44007002102,0.830060610905607,0.3204881935917161
44007012104,2.0628712907708726,0.7964790581618754
44007011902,3.0772538561269074,1.188134356233664
44007011901,1.5520564281991733,0.5992523371073795
44007012103,0.7891164888673542,0.30467957969312137
44007014400,2.6319041878078027,1.0161838879894953
44007014502,3.327743556925688,1.2848489704047246
44007014800,3.786090530030785,1.461817726081999
44007015000,1.1722529331492724,0.4526093878466475
44007015100,1.0296139693497333,0.3975361760313877
44007015200,0.5970178210748263,0.23050986940529813
44007015300,0.4207784315272389,0.1624634606807717
44007015400,0.3633172074980921,0.14027755805062705
44007015500,0.9242045742424126,0.3568373810497977
44007015700,1.1025270862221621,0.42568808784189005
44007015800,1.635181775079386,0.6313472129674191
44007016000,1.194682052674446,0.4612693193095236
44007016100,0.9262248409415339,0.3576174103831598
44007016300,1.9349290646716941,0.7470802884962569
44007011701,5.381143482584828,2.0776711140526163
44007012300,10.160798915002326,3.9231063935981396
44007013102,61.61571339658233,23.789959942553132
44007012601,22.01975184960716,8.50187371970234
44007014600,26.818540610270322,10.354696418583613
44007014501,9.994611781340504,3.8589411825693283
44007010300,3.6721547501792617,1.417826875546109
44007012401,5.011468998115919,1.9349389976411047
44007011600,24.478441396236455,9.451179060841657
44007003601,0.8721140087846916,0.336725101286875
44007013202,98.25025766467061,37.93463656168081
44007013900,2.4815070538382455,0.958115229925252
44007011702,7.717726319647541,2.979830791055762
44007016500,0.9770379588351009,0.37723646488413776
44007012803,47.32204295438824,18.27114293132764
44007012801,11.748802191456056,4.536237886409401
44007011302,4.974644454088046,1.9207209617046017
44007001700,0.6404558102077617,0.2472813707722678
44007003200,0.697443916101831,0.26928460146921346
44007014000,2.0668268689070377,0.798006315418532
44007016400,1.0741538203927523,0.4147331086602563
44007016600,0.7325116627706936,0.28282433415328095
44007016700,0.8275083889819518,0.3195027751979135
