GEOID,suicide_rate_per_100k,pct_male,median_age,pct_hispanic,pct_nh_black,pct_nh_aian,pct_nh_asian,pct_nh_two_or_more,median_hh_income,poverty_rate_all,poverty_rate_child_u18,poverty_rate_elderly_65p,gini_index,hh_public_assistance_share,lfp_rate_16p,unemployment_rate,edu_grad_prof_25p,hh_single_person_share,avg_hh_size,marital_divorced_share_15p,housing_occupied_share,renter_occupied_share,overcrowding_rate_gt1pproom,rent_burdened_gt30,rent_burdened_gt50,residential_stability_same_house_1yr,uninsured_rate,veteran_share_18p
44001030100,20.12072435,0.4774647887323943,42.5,0.1020120724346076,0.000603622,0,0.046076459,0,123646,0.053524004,0.2786259541984733,0.039615846,0.4719,0.004025302,0.6231075697211156,0.019607843,0.3149466192170818,0.1966647498562392,2.82,0.016469377,0.9560197910940076,0.1633122484186314,0.016676251,0.7253521126760564,0.1478873239436619,0,0.003873598,0.034284147
44001030200,117.0617501,0.4644424934152765,42.4,0.071407668,0.00936494,0,0.038045069,0.000877963,128761,0.033655253,0.2782608695652174,0.099056604,0.3723,0.048231511,0.7302483069977427,0.049459042,0.4084753167321974,0.1631832797427652,2.7,0,0.9896579156722356,0.1921221864951768,0,0.5700934579439252,0.3691588785046729,0.002363368,0.019022534,0.048630977
44001030300,22.04585538,0.4953703703703703,42.9,0.037037037,0.010141093,0,0.041446208,0.007054674,172609,0.059964727,0.040441176,0.2868217054263566,0.3623,0.014962594,0.6821210438645197,0.006105006,0.3946777813401731,0.192643392,2.82,0.008423913,0.9098128190584232,0.046134663,0,0,0,0,0.013888889,0.052941176
44001030500,89.73975471,0.4735267723601555,45.1,0.037391564,0.017349686,0,0.011367036,0,74444,0.1461117861482381,0.1663201663201663,0.2801120448179272,0.4609,0.004,0.6457905544147844,0.063063063,0.1090444930707512,0.5582857142857143,1.9,0.004026846,0.8997429305912596,0.6542857142857142,0,0.4972826086956521,0.2744565217391304,0.006622517,0.027261833,0.047928792
44001030601,55.20287055,0.5313276290367099,47,0.043334253,0.011316588,0,0.012144632,0,119120,0.019569472,0,0.096685083,0.3774,0.006603081,0.7373286579534587,0.029399049,0.1290812452543659,0.3382245047688921,2.62,0.040784066,0.8670483460559797,0.1628760088041085,0,0.193069307,0.1237623762376237,0.002208724,0.028235952,0.017578125
44001030602,47.93863854,0.4896931927133269,54.5,0.030201342,0.013662512,0,0,0.007430489,78542,0.1118485742379547,0.2,0.1726006191950464,0.4486,0.030827474,0.6191751472951259,0.047722343,0.1616191030867792,0.447809627,2.18,0.010074231,0.9112863479546576,0.3098972417522985,0,0.558935361,0.2832699619771863,0,0.004186161,0.059758772
44001030700,140.4987706,0.4134176325957148,40.8,0.087811732,0.023533544,0.002458728,0.037934668,0.010186161,64858,0.1099402880224798,0.4121405750798722,0.1847619047619047,0.423,0,0.7266694317710494,0.017694064,0.1647005444646098,0.5635074145712443,1.83,0.029033596,0.7121212121212122,0.7130883301096067,0,0.4436229205175601,0.2162661737523105,0,0.054092027,0.046868519
44001030800,49.65243297,0.4938761999337968,22,0.025322741,0.026481298,0.000662032,0.010923535,0,116399,0.074260355,0.3625498007968127,0.031034483,0.3938,0.1244886031560491,0.5375402216660707,0.043897572,0.2184031507339778,0.4482758620689655,1.96,0.008991537,0.8769861609431061,0.3834015195791934,0,0.2492260061919504,0.1408668730650154,0.002492522,0.009102946,0.049936903
44001030901,46.92632567,0.4891287345534178,45.1,0.012357266,0.001564211,0,0.008290318,0,111469,0.039423077,0.3983739837398374,0.042264151,0.3829,0.031886625,0.644926182,0.009307737,0.1382913337430854,0.2524357838795394,2.75,0.011904762,0.9847361535106848,0.068644818,0.004871568,0.1666666666666666,0.1666666666666666,0,0.022482736,0.065696227
44001030902,14.21464108,0.4979388770433546,55.1,0.023596304,0.002842928,0,0.007818053,0.00952381,99423,0.093154444,0.2078559738134206,0.1262002743484225,0.4502,0.053040541,0.5434954840754239,0.034585569,0.2322015334063527,0.4192567567567568,2.2,0.034316019,0.9113300492610836,0.2293918918918918,0,0.5038880248833593,0.2410575427682737,0,0.015819042,0.083593365
