GEOID,suicide_count,pop_total,pct_male,pct_age_15_24,pct_age_25_44,pct_age_45_64,pct_age_65p,median_age,pct_hispanic,pct_nh_white,pct_nh_black,pct_nh_aian,pct_nh_asian,pct_nh_two_or_more,median_hh_income,per_capita_income,poverty_rate_all,poverty_rate_child_u18,poverty_rate_elderly_65p,gini_index,hh_public_assistance_share,lfp_rate_16p,unemployment_rate,not_in_labor_force_share_16p,edu_lt_hs_25p,edu_hs_grad_25p,edu_some_college_25p,edu_ba_plus_25p,edu_grad_prof_25p,hh_total,hh_single_person_share,hh_married_couple_share,hh_female_householder_no_spouse_share,avg_hh_size,marital_never_married_share_15p,marital_divorced_share_15p,marital_separated_share_15p,marital_married_share_15p,housing_occupied_share,housing_vacancy_rate,homeownership_rate,renter_occupied_share,overcrowding_rate_gt1pproom,rent_burdened_gt30,rent_burdened_gt50,residential_stability_same_house_1yr,foreign_born_share,uninsured_rate,veteran_share_18p
44007015200,1,2937,0.627851549,0.138236296,0.187606401,0.254681648,0.291113381,49.5,0.357507661,0.350357508,0.116445352,0.01566224,0.023152877,0.035750766,16448,24342,0.362952837,0.222222222,0.532163743,0.5577,0.094361335,0.416015625,0.074178404,0.583984375,0.387336245,0.297816594,0.212227074,0.095196507,0.025764192,1738,0.750287687,0.138665132,0.050632911,1.61,0.273425499,0.017281106,0.07296467,0.594470046,0.931903485,0.068096515,0.159378596,0.840621404,0.00863061,0.456338028,0.140140845,0,0.278855975,0.003064351,0.084375
44007015300,2,2455,0.472912424,0.064765784,0.257026477,0.156822811,0.114052953,30.8,0.529531568,0.183299389,0.090835031,0,0,0.043177189,42577,21367,0.204887984,0.602385686,0.239285714,0.4316,0.050941307,0.632751355,0.108468126,0.367248645,0.301969365,0.280816922,0.211524435,0.115244347,0.019693654,903,0.407530454,0.277962348,0.224806202,2.72,0.190362879,0,0.03569304,0.393218322,0.869942197,0.130057803,0.182724252,0.817275748,0,0.580691643,0.283861671,0,0.340529532,0.047250509,0.000687285
44007015500,2,4972,0.48310539,0.136765889,0.30772325,0.279565567,0.056315366,36.4,0.25,0.380530973,0.225663717,0,0.00543041,0.040024135,84489,35675,0.14541432,0.354080221,0.328571429,0.3586,0.055874674,0.787765293,0.078605388,0.212234707,0.123642439,0.285435812,0.378724589,0.145363409,0.06321359,1915,0.283550914,0.365535248,0.214099217,2.59,0.250613648,0.007854688,0.027982327,0.514973,0.994805195,0.005194805,0.55613577,0.44386423,0.002088773,0.430107527,0.191158901,0,0.216411907,0.013475463,0.029896907
44007015800,2,3887,0.533830718,0.119886802,0.25443787,0.24260355,0.158476975,37.4,0.175971186,0.637509648,0.060715205,0,0.013892462,0.075894006,99583,46798,0.055122345,0.43902439,0.068181818,0.4706,0.007560137,0.734019333,0.020390824,0.265980667,0.091619318,0.382457386,0.232599432,0.238991477,0.072088068,1455,0.381443299,0.402061856,0.132646048,2.66,0.211895911,0.048017348,0.087670384,0.555142503,0.878623188,0.121376812,0.733333333,0.266666667,0.021993127,0.394957983,0.316526611,0,0.122716748,0.035760226,0.077305906
44007015900,1,3242,0.443861814,0.154534238,0.259099321,0.302899445,0.097162246,37.2,0.190623072,0.615360888,0.107649599,0,0.025293029,0.013263418,65805,35411,0.106159084,0.428571429,0.06984127,0.3657,0.017730496,0.738155515,0.04899559,0.261844485,0.220042644,0.286993603,0.246908316,0.147974414,0.04989339,1410,0.370212766,0.278014184,0.207092199,2.3,0.169323415,0,0.094580234,0.424017003,0.914990266,0.085009734,0.423404255,0.576595745,0,0.237858032,0.170610212,0.003719777,0.277606416,0.019432449,0.012888552
44007016000,4,3605,0.622468793,0.170319001,0.325381415,0.184466019,0.150346741,34.6,0.273231623,0.373925104,0.230513176,0,0,0.012760055,73831,37371,0.12926491,0.364806867,0.17896679,0.4354,0.072830906,0.620598007,0.07012848,0.379401993,0.15597723,0.200379507,0.15256167,0.263377609,0.099051233,1579,0.457884737,0.15389487,0.105763141,2.28,0.36539703,0.006778567,0.094577147,0.584570691,0.901255708,0.098744292,0.196960101,0.803039899,0.007599747,0.299758259,0.183722804,0.001386963,0.19889043,0.014424411,0.012358049
44007016100,6,4815,0.447144341,0.163862928,0.256697819,0.199376947,0.147663551,33,0.278296989,0.255867082,0.198338525,0.000415369,0.011007269,0.076012461,60859,28298,0.237175493,0.483362522,0.17721519,0.4272,0.037348764,0.712763192,0.049598833,0.287236808,0.269037037,0.24562963,0.176592593,0.230518519,0.093037037,1901,0.405576013,0.307206733,0.226196739,2.52,0.220837488,0.007228315,0.042871386,0.448155533,0.878871937,0.121128063,0.25512888,0.74487112,0,0.45494186,0.26380814,0.00614537,0.412668744,0.053582555,0.021374459
44007016300,1,2673,0.442573887,0.193789749,0.184062851,0.338945006,0.196034418,48,0.131687243,0.609427609,0.145529368,0.014590348,0.009352787,0.010475122,77450,43274,0.075393848,0.199004975,0.097328244,0.3898,0.033187773,0.687726358,0.069046226,0.312273642,0.062562563,0.21021021,0.30980981,0.291291291,0.098098098,1145,0.368558952,0.448908297,0.136244541,2.33,0.119919517,0.014084507,0.042655936,0.416498994,0.977796755,0.022203245,0.844541485,0.155458515,0,0.16969697,0.103030303,0,0.209876543,0.010475122,0.030327869
44007016400,1,4978,0.421856167,0.197067095,0.217557252,0.226396143,0.106267577,31.7,0.338891121,0.27942949,0.132181599,0,0,0.095218963,43406,24741,0.242559223,0.486644407,0.361058601,0.444,0.083926755,0.735574378,0.121626484,0.264425622,0.29385836,0.186012342,0.308551278,0.151630914,0.055245372,1966,0.399796541,0.195320448,0.348423194,2.49,0.214487542,0.008219882,0.042126894,0.425892628,0.9178338,0.0821662,0.266531027,0.733468973,0.000508647,0.730471499,0.366643209,0.009451036,0.249899558,0.035027333,0.015053763
44007016500,2,3978,0.534942182,0.131724485,0.268979387,0.260432378,0.17571644,41.9,0.051282051,0.823780794,0,0.002765209,0.027149321,0,103519,63444,0.093765711,0.131367292,0.173104435,0.4987,0.044492675,0.740951241,0.08033912,0.259048759,0.04955983,0.101402022,0.13335507,0.641669384,0.361917183,1843,0.508410201,0.401519262,0.01953337,2.16,0.169940476,0.002380952,0.102083333,0.522916667,0.963408259,0.036591741,0.619641888,0.380358112,0,0.412650602,0.227409639,0.004827236,0.127953746,0.011060835,0.037548813
